qtr,project_name,postal_district,25th_percentile,median,75th_percentile,rental_contracts
2020-Q4,PARK PLACE RESIDENCES AT PLQ,14,4.5,4.65,5.16,88
2020-Q4,PARKSHORE,15,2.28,2.44,2.81,14
2020-Q4,PARKVIEW APARTMENTS,23,2.12,2.23,2.37,23
2020-Q4,PARVIS,10,3.79,3.88,4.12,27
2020-Q4,PASTORAL VIEW,11,3.03,3.38,4.01,15
2020-Q4,PATERSON RESIDENCE,9,3.94,4.01,4.45,12
2020-Q4,PAVILION 11,11,3,3.27,3.64,12
2020-Q4,PEBBLE BAY,15,2.83,3.08,3.25,38
2020-Q4,PEOPLE'S PARK COMPLEX,1,3.41,3.91,4.37,22
2020-Q4,POLLEN & BLEU,10,4.02,4.29,4.65,11
2020-Q4,PRESTIGE HEIGHTS,12,4.23,4.69,5.04,18
2020-Q4,PRIMO RESIDENCES,19,2.25,2.75,3.03,10
2020-Q4,PRINCIPAL GARDEN,3,4.16,4.73,5.07,28
2020-Q4,Q BAY RESIDENCES,18,2.5,2.71,3.16,56
2020-Q4,QUEENS,3,3.01,3.17,3.37,46
2020-Q4,QUEENS PEAK,3,4.13,4.35,5.09,114
2020-Q4,QUESTA @ DUNMAN,15,3.18,3.44,3.48,13
2020-Q4,RAFFLESIA CONDOMINIUM,20,2.65,2.74,2.84,14
2020-Q4,REFLECTIONS AT KEPPEL BAY,4,3.84,4.04,4.37,133
2020-Q4,REGENCY PARK,10,2.57,2.83,3.19,21
2020-Q4,REGENT GROVE,23,1.96,2,2.14,23
2020-Q4,REGENT HEIGHTS,23,2.08,2.15,2.38,26
2020-Q4,REGENT PARK,5,2.66,2.71,2.88,17
2020-Q4,REGENT RESIDENCES,12,2.97,3.12,3.88,27
2020-Q4,REGENTVILLE,19,2.18,2.31,2.45,22
2020-Q4,RESIDENCES @ EVELYN,11,3.53,3.6,3.72,20
2020-Q4,REZI 26,14,3.27,3.53,4.09,17
2020-Q4,REZI 35,14,3.38,3.51,4.19,12
2020-Q4,RIDGEWOOD,10,1.97,2.17,2.32,31
2020-Q4,RIPPLE BAY,18,2.58,2.97,3.34,45
2020-Q4,RIS GRANDEUR,18,1.92,1.95,2.04,14
2020-Q4,RIVER ISLES,19,2.25,2.52,2.63,17
2020-Q4,RIVER PLACE,3,3.39,3.61,3.87,66
2020-Q4,RIVERBANK @ FERNVALE,28,2.81,2.9,3.05,17
2020-Q4,RIVEREDGE,15,3.38,3.51,3.6,12
2020-Q4,RIVERGATE,9,4.19,4.41,4.77,47
2020-Q4,RIVERSAILS,19,2.35,2.49,2.79,53
2020-Q4,RIVERSIDE 48,9,3.3,3.54,3.83,16
2020-Q4,RIVERSOUND RESIDENCE,19,2.22,2.45,2.69,16
2020-Q4,RIVERTREES RESIDENCES,28,2.86,3.09,3.36,20
2020-Q4,RIVERVALE CREST,19,1.94,2.07,2.14,17
2020-Q4,RIVERWALK APARTMENTS,1,3.19,3.41,3.53,10
2020-Q4,RIVIERA 38,12,2.72,3.57,4.31,10
2020-Q4,ROBERTSON 100,9,3.74,3.92,4.22,26
2020-Q4,ROBIN RESIDENCES,10,4.2,4.74,5.34,23
2020-Q4,ROBIN SUITES,10,4.97,5.19,5.29,14
2020-Q4,ROBINSON SUITES,1,5.16,5.53,5.86,40
2020-Q4,ROCHELLE AT NEWTON,11,3.54,3.72,4.08,12
2020-Q4,ROSEWOOD,25,2.09,2.16,2.26,14
2020-Q4,RV EDGE,10,5.06,5.55,5.74,27
2020-Q4,RV RESIDENCES,10,4.3,4.57,5.6,25
2020-Q4,RV SUITES,10,4.06,4.45,4.84,13
2020-Q4,SANCTUARY GREEN,15,2.69,2.83,3.14,32
2020-Q4,SANT RITZ,13,3.59,3.86,4.07,27
2020-Q4,SAVANNAH CONDOPARK,18,2.04,2.19,2.35,18
2020-Q4,SCOTTS 28,9,3.26,3.38,3.55,13
2020-Q4,SCOTTS SQUARE,9,5.81,6.3,7.17,38
2020-Q4,SEA ESTA,18,2.28,2.42,2.81,26
2020-Q4,SEAHILL,5,3.69,3.83,4.35,31
2020-Q4,SEASCAPE,4,4.02,4.1,4.32,15
2020-Q4,SEASONS PARK,26,2.01,2.09,2.16,12
2020-Q4,SEASONS VIEW,20,2.45,2.56,2.63,12
2020-Q4,SEASTRAND,18,2.31,2.49,3.01,31
2020-Q4,SELETAR PARK RESIDENCE,28,2.4,2.73,3.29,30
2020-Q4,SELETARIS,27,1.58,1.76,1.94,15
2020-Q4,SENNETT RESIDENCE,13,3.25,3.52,3.72,41
2020-Q4,SERENITY PARK,28,1.85,2.06,2.11,13
2020-Q4,SEVENTY SAINT PATRICK'S,15,3.39,3.54,3.64,13
2020-Q4,SHANGRI-LA RESIDENCES,10,5.19,5.46,6.41,10
2020-Q4,SHERWOOD TOWER,21,1.78,1.92,2.32,10
2020-Q4,SIGLAP V,15,3.1,3.39,3.66,23
2020-Q4,SIGNATURE PARK,21,1.99,2.13,2.23,56
2020-Q4,SILVERSEA,15,3.82,4.06,4.28,36
2020-Q4,SIMS EDGE,14,3.83,4.15,4.25,11
2020-Q4,SIMS URBAN OASIS,14,3.9,4.21,4.65,74
2020-Q4,SIMSVILLE,14,2.59,2.76,2.89,25
2020-Q4,SKIES MILTONIA,27,2.69,3.03,3.32,26
2020-Q4,SKY GREEN,13,3.29,4.01,4.32,22
2020-Q4,SKY HABITAT,20,3.32,3.43,3.8,28
2020-Q4,SKY VUE,20,3.72,4.13,4.57,53
2020-Q4,SKY@ELEVEN,11,3.18,3.3,3.39,15
2020-Q4,SKYLINE RESIDENCES,4,3.72,4.1,4.83,29
2020-Q4,SKYSUITES@ANSON,2,5.84,6.28,6.67,68
2020-Q4,SKYSUITES17,12,3.98,4.4,4.93,13
2020-Q4,SMART SUITES,14,3.68,3.91,4.22,16
2020-Q4,SOLEIL @ SINARAN,11,4.53,4.83,5.16,32
2020-Q4,SOMMERVILLE PARK,10,2.68,2.82,3.03,23
2020-Q4,SOPHIA HILLS,9,4.21,4.61,4.9,60
2020-Q4,SOPHIA RESIDENCE,9,3.38,3.71,4,36
2020-Q4,SOUTHAVEN II,21,1.89,2.02,2.26,15
2020-Q4,SOUTHBANK,7,4.09,4.28,4.56,20
2020-Q4,SPACE @ KOVAN,19,3.34,3.5,4.12,19
2020-Q4,SPANISH VILLAGE,10,2.11,2.28,2.78,28
2020-Q4,SPOTTISWOODE 18,2,4.65,5.42,5.68,45
2020-Q4,SPOTTISWOODE PARK,2,2.2,2.82,3.06,23
2020-Q4,SPOTTISWOODE RESIDENCES,2,4.26,4.48,4.65,60
2020-Q4,SPOTTISWOODE SUITES,2,4.89,5.3,5.67,28
2020-Q4,SPRING GROVE,10,2.95,3.1,3.17,35
2020-Q4,SPRINGDALE CONDOMINIUM,21,2.3,2.41,2.54,29
2020-Q4,STARLIGHT SUITES,9,3.87,4.13,4.78,15
2020-Q4,STARS OF KOVAN,19,3.83,4.07,4.42,28
2020-Q4,STARVILLE,14,2.17,2.55,3.32,10
2020-Q4,STELLAR RV,10,4.27,4.45,4.84,25
2020-Q4,STRATA,11,3.75,4.25,4.55,14
2020-Q4,STRATFORD COURT,16,2.2,2.24,2.46,11
2020-Q4,STRATUM,18,2.71,3.17,3.46,23
2020-Q4,STURDEE RESIDENCES,8,4.72,4.97,5.48,30
2020-Q4,SUITES @ EASTCOAST,15,3.11,3.83,4.38,18
2020-Q4,SUITES @ NEWTON,11,4.41,4.47,4.65,10
2020-Q4,SUITES @ PAYA LEBAR,19,3.41,4.03,4.4,13
2020-Q4,SUITES AT BUKIT TIMAH,21,3.99,4.65,4.88,10
2020-Q4,SUITES AT ORCHARD,9,4.54,4.95,5.84,19
2020-Q4,SUITES DE LAUREL,21,3.63,3.83,4.22,10
2020-Q4,SUITES@ KATONG,15,3.04,4.31,4.49,14
2020-Q4,SUITES@CHANGI,14,3.94,4.03,4.08,11
2020-Q4,SUNGLADE,19,2.77,2.81,3.04,28
2020-Q4,SUNHAVEN,16,2.06,2.12,2.25,26
2020-Q4,SUNSHINE PLAZA,7,3.1,3.46,3.8,17
2020-Q4,SYMPHONY HEIGHTS,21,2.16,2.31,2.48,34
2020-Q4,SYMPHONY SUITES,27,2.79,2.92,3.18,28
2020-Q4,TANAMERA CREST,16,2.13,2.17,2.3,17
2020-Q4,TANGLIN PARK,10,3,3.16,3.39,25
2020-Q4,TANGLIN REGENCY,10,3.06,3.53,3.8,15
2020-Q4,TANGLIN VIEW,3,3.12,3.24,3.42,17
2020-Q4,TANJONG RIA CONDOMINIUM,15,2.39,2.54,2.58,11
2020-Q4,TERESA VILLE,4,1.88,2.07,2.09,10
2020-Q4,TERRASSE,19,2.68,2.88,3.05,19
2020-Q4,TERRENE AT BUKIT TIMAH,21,2.71,2.8,2.97,10
2020-Q4,TEXTILE CENTRE,7,2.83,3.1,3.17,15
2020-Q4,THE ALPS RESIDENCES,18,3.3,3.6,3.89,42
2020-Q4,THE ANCHORAGE,3,2.55,2.65,2.82,42
2020-Q4,THE ARTE,12,2.65,2.72,2.84,22
2020-Q4,THE ATRIA AT MEYER,15,2.5,2.64,2.73,12
2020-Q4,THE AZURE,4,3.5,3.68,3.75,16
2020-Q4,THE BAYSHORE,16,2.3,2.44,2.57,82
2020-Q4,THE BEACON,2,3.25,3.37,3.79,13
2020-Q4,THE BEAUMONT,9,2.28,2.47,2.65,19
2020-Q4,THE BELVEDERE,15,2.85,2.98,3.13,14
2020-Q4,THE BENCOOLEN,7,3.52,3.67,3.87,33
2020-Q4,THE BERTH BY THE COVE,4,3.16,3.43,3.63,16
2020-Q4,THE BLOSSOMVALE,21,2.55,2.62,2.98,13
2020-Q4,THE BOUTIQ,9,4.22,4.55,4.86,20
2020-Q4,THE CAIRNHILL,9,2.18,2.3,2.44,12
2020-Q4,THE CALROSE,26,2.24,2.29,2.4,13
2020-Q4,THE CASCADIA,21,3.21,3.43,3.7,41
2020-Q4,THE CATHAY RESIDENCE,9,4.01,4.17,4.51,11
2020-Q4,THE CENTRIS,22,2.79,3.15,3.39,34
2020-Q4,THE CLEMENT CANOPY,5,3.69,3.95,4.17,26
2020-Q4,THE CLIFT,1,5.16,5.53,5.73,37
2020-Q4,THE COAST AT SENTOSA COVE,4,3.35,3.55,3.7,30
2020-Q4,THE COLONNADE,10,3.32,3.43,3.56,13
2020-Q4,THE COSMOPOLITAN,9,4.19,4.38,4.53,23
2020-Q4,THE CREEK @ BUKIT,21,3.37,4.04,4.19,17
2020-Q4,THE CREST,3,3.97,4.28,4.7,38
2020-Q4,THE DAIRY FARM,23,1.8,1.95,2.09,24
2020-Q4,THE DRAYCOTT,10,2.58,2.7,2.93,12
2020-Q4,THE ESTA,15,3.17,3.29,3.58,22
2020-Q4,THE ESTUARY,27,2.3,2.48,2.67,33
2020-Q4,THE FOLIAGE,5,3.16,3.86,4.1,10
2020-Q4,THE FORD @ HOLLAND,10,4.6,4.85,5.25,11
2020-Q4,THE FORESTA @ MOUNT FABER,4,3.57,4.61,5.34,24
2020-Q4,THE GALE,17,2.26,2.34,2.46,21
2020-Q4,THE GARDENS AT BISHAN,20,2.24,2.42,2.6,33
2020-Q4,THE GLADES,16,3.54,3.77,4.25,57
2020-Q4,THE GLYNDEBOURNE,11,3.49,3.79,3.89,16
2020-Q4,THE GRANGE,10,3.46,3.54,3.69,12
2020-Q4,THE GREENWICH,28,2.61,2.82,3.03,35
2020-Q4,THE HELICONIA,14,2.06,2.12,2.15,10
2020-Q4,THE HILLFORD,21,4.18,4.46,4.65,30
2020-Q4,THE HILLIER,23,3.4,3.58,3.75,74
2020-Q4,THE HILLSIDE,21,2.01,2.13,2.26,18
2020-Q4,THE IMPERIAL,9,3.89,4.23,4.36,14
2020-Q4,THE INFINITI,5,2.3,2.43,2.54,13
2020-Q4,THE INFLORA,17,2.39,2.59,3.15,34
2020-Q4,THE INSPIRA,9,4.3,4.49,4.81,15
2020-Q4,THE INTERLACE,4,3.17,3.4,3.64,71
2020-Q4,THE INTERWEAVE,12,3.48,4.4,4.65,25
2020-Q4,THE JADE,23,2.4,2.67,2.84,23
2020-Q4,THE LAKEFRONT RESIDENCES,22,3.1,3.4,3.89,57
2020-Q4,THE LAKESHORE,22,2.72,2.88,3.13,52
2020-Q4,THE LANAI,23,2.78,2.86,2.97,28
2020-Q4,THE LAURELS,9,4.99,5.36,5.8,20
2020-Q4,THE LEVELZ,10,3.14,3.31,3.42,10
2020-Q4,THE LIGHT @ CAIRNHILL,9,3.69,3.84,3.95,10
2020-Q4,THE LINE @ TANJONG RHU,15,3.42,4.1,4.85,12
2020-Q4,THE LUXURIE,19,2.61,2.85,3,40
2020-Q4,THE MADEIRA,23,1.99,2.24,2.45,14
2020-Q4,THE MAKENA,15,2.52,2.69,2.83,27
2020-Q4,THE MARBELLA,10,3.14,3.28,3.42,14
2020-Q4,THE MAYFAIR,22,2.57,2.8,2.93,27
2020-Q4,THE MERASAGA,10,3.51,3.66,4.02,11
2020-Q4,THE METROPOLITAN CONDOMINIUM,3,3.31,3.57,3.94,26
2020-Q4,THE METZ,9,5.24,6.06,6.82,16
2020-Q4,THE MEYERISE,15,3.51,3.82,4.03,16
2020-Q4,THE MEZZO,12,3.01,3.1,3.31,14
2020-Q4,THE MILTONIA RESIDENCES,27,2.08,2.34,2.56,35
2020-Q4,THE MINTON,19,2.54,2.7,2.77,48
2020-Q4,THE MKZ,9,3.9,4.16,4.45,11
2020-Q4,THE MONTANA,10,3.47,3.89,4.04,15
2020-Q4,THE NAUTICAL,27,2.5,2.77,3.38,17
2020-Q4,THE NEXUS,21,3.02,3.57,3.81,12
2020-Q4,THE OCEANFRONT @ SENTOSA COVE,4,3.51,3.66,3.86,27
2020-Q4,THE OCTET,14,4.03,4.13,4.29,10
2020-Q4,THE PALETTE,18,2.44,2.57,2.99,37
2020-Q4,THE PANORAMA,20,3.04,3.29,3.7,27
2020-Q4,THE PARC CONDOMINIUM,5,2.76,2.96,3.13,44
2020-Q4,THE PEAK@BALMEG,5,2.7,2.96,2.99,10
2020-Q4,THE PIER AT ROBERTSON,9,4.3,4.57,4.74,28
2020-Q4,THE PLAZA,7,2.72,2.96,3.37,24
2020-Q4,THE POIZ RESIDENCES,13,4.3,4.65,4.76,55
2020-Q4,THE PROMENADE@PELIKAT,19,2.5,3.47,3.68,16
2020-Q4,THE QUARTZ,19,2.32,2.34,2.47,10
2020-Q4,THE QUINN,19,3.17,3.44,3.79,10
2020-Q4,THE RAINTREE,21,2.53,2.68,2.79,11
2020-Q4,THE REGALIA,9,2.63,2.86,2.92,12
2020-Q4,THE REGENCY AT TIONG BAHRU,3,4.03,4.16,4.47,10
2020-Q4,THE RESIDENCES AT W SINGAPORE SENTOSA COVE,4,4.32,4.43,4.5,33
2020-Q4,THE RISE @ OXLEY - RESIDENCES,9,4.61,5.09,5.4,20
2020-Q4,THE ROCHESTER RESIDENCES,5,3.3,3.73,4.03,52
2020-Q4,THE SAIL @ MARINA BAY,1,4.26,4.65,5.05,167
2020-Q4,THE SANTORINI,18,3.13,3.32,3.6,39
2020-Q4,THE SCALA,19,3.35,3.47,4.38,51
2020-Q4,THE SCOTTS TOWER,9,4.69,5.15,5.51,22
2020-Q4,THE SEA VIEW,15,3.29,3.53,3.76,28
2020-Q4,THE SEAFRONT ON MEYER,15,3.12,3.28,3.3,21
2020-Q4,THE SEAWIND,15,3.48,3.64,3.71,11
2020-Q4,THE SHELFORD,11,3.37,3.48,3.58,13
2020-Q4,THE SHORE RESIDENCES,15,3.86,4,4.28,43
2020-Q4,THE SIXTH AVENUE RESIDENCES,10,3.08,3.32,3.45,10
2020-Q4,THE SKYWOODS,23,2.98,3.21,3.51,25
2020-Q4,THE SORRENTO,5,4.45,4.53,4.76,10
2020-Q4,THE SOUND,15,3.17,3.42,3.97,14
2020-Q4,THE SPRINGBLOOM,19,2.4,2.5,2.65,16
2020-Q4,THE STERLING,21,2.6,2.79,2.93,13
2020-Q4,THE SUITES AT CENTRAL,9,4.43,4.53,4.63,14
2020-Q4,THE SUMMIT,16,1.92,2.16,2.32,13
2020-Q4,THE SUNNY SPRING,14,2.45,2.62,2.72,19
2020-Q4,THE TANAMERA,16,2.36,2.43,2.66,12
2020-Q4,THE TEMBUSU,19,2.93,3.32,3.82,25
2020-Q4,THE TENNERY,23,2.79,3.26,3.26,45
2020-Q4,THE TESSARINA,10,2.77,2.87,3.02,18
2020-Q4,THE TIER,12,3.73,3.84,4.04,13
2020-Q4,THE TRILINQ,5,3.61,3.91,4.27,41
2020-Q4,THE TRILLIUM,9,3.78,4,4.18,19
2020-Q4,THE TRIZON,10,3.19,3.3,3.37,16
2020-Q4,THE TROPICA,18,2.17,2.24,2.35,12
2020-Q4,THE TRUMPS,14,2.94,3.12,3.33,12
2020-Q4,THE VENUE RESIDENCES,13,3.29,3.34,3.55,11
2020-Q4,THE VERMONT ON CAIRNHILL,9,4.19,4.4,4.48,19
2020-Q4,THE VERVE,12,3.08,3.32,3.88,11
2020-Q4,THE VIRIDIAN,12,3.77,4.06,4.19,12
2020-Q4,THE VISION,5,3.16,3.43,3.67,19
2020-Q4,THE WARREN,23,2.08,2.2,2.36,27
2020-Q4,THE WATER EDGE,14,3.96,4.16,4.61,14
2020-Q4,THE WATERINA,14,2.62,2.74,2.98,30
2020-Q4,THE WATERSIDE,15,2.54,2.67,2.85,40
2020-Q4,THE WHARF RESIDENCE,9,4.49,4.84,5.06,20
2020-Q4,THE WISTERIA,27,2.96,3.34,3.64,18
2020-Q4,THOMSON 800,11,2.35,2.46,2.55,19
2020-Q4,THOMSON EURO-ASIA,11,3.29,3.43,3.53,10
2020-Q4,THOMSON GRAND,20,2.5,2.55,2.61,14
2020-Q4,THOMSON IMPRESSIONS,20,3.27,3.83,4.32,25
2020-Q4,THOMSON THREE,20,2.92,3.14,3.52,40
2020-Q4,TIARA,9,2.97,3.12,3.27,17
2020-Q4,TIONG BAHRU ESTATE,3,3.27,3.8,4.2,46
2020-Q4,TRE RESIDENCES,14,3.74,4.03,4.29,54
2020-Q4,TREASURE ON BALMORAL,10,3.57,3.68,3.71,10
2020-Q4,TREE HOUSE,23,2.58,2.64,2.7,11
2020-Q4,TRELLIS TOWERS,12,2.7,3.24,3.54,27
2020-Q4,TRESALVEO,20,2.69,3.1,3.48,23
2020-Q4,TREVISTA,12,3.02,3.2,3.45,35
2020-Q4,TREVOSE PARK,11,2.52,2.92,3.04,12
2020-Q4,TRIBECA,9,3.32,4.56,4.91,18
2020-Q4,TRILIGHT,11,3.56,3.71,4.14,22
2020-Q4,TRILIVE,19,2.72,3.36,3.75,27
2020-Q4,TROPICAL SPRING,18,2.34,2.4,2.44,13
2020-Q4,TROPIKA EAST,14,2.75,3.54,3.8,12
2020-Q4,TURQUOISE,4,3.01,3.46,3.62,10
2020-Q4,TWIN REGENCY,3,3.79,3.95,4.08,15
2020-Q4,UBER 388,16,2.93,3.1,3.23,10
2020-Q4,UE SQUARE,9,3.07,3.28,3.7,33
2020-Q4,UP@ROBERTSON QUAY,9,5.4,6.05,6.37,13
2020-Q4,URBAN LOFTS,8,3.32,3.72,4.24,10
2020-Q4,URBAN SUITES,9,4.68,4.91,5.17,14
2020-Q4,URBAN VISTA,16,3.19,3.57,4.02,97
2020-Q4,URBANA,9,3.66,3.76,3.84,10
2020-Q4,V ON SHENTON,1,4.58,4.96,5.53,72
2020-Q4,VA RESIDENCES,12,3.57,3.72,3.95,16
2020-Q4,VACANZA @ EAST,14,2.68,2.79,2.99,40
2020-Q4,VALLEY PARK,10,2.96,3.1,3.32,61
2020-Q4,VARSITY PARK CONDOMINIUM,5,3.01,3.1,3.35,16
2020-Q4,VIBES@UPPER SERANGOON,19,3.88,4.02,4.17,10
2020-Q4,VIDA,9,4.06,4.74,5.12,13
2020-Q4,VILLA DELLE ROSE,10,2.44,2.54,2.66,11
2020-Q4,VILLA MARINA,15,2.26,2.59,2.66,16
2020-Q4,VILLAGE @ PASIR PANJANG,5,2.87,2.97,3.18,11
2020-Q4,VISIONCREST,9,4.2,4.42,4.75,17
2020-Q4,VISTA RESIDENCES,12,3.2,3.32,3.53,21
2020-Q4,VIVA,11,4.45,4.54,4.91,17
2020-Q4,VIVA VISTA,5,4.62,5.04,5.22,32
2020-Q4,VIVACE,9,4.72,5.09,5.59,22
2020-Q4,VIZ AT HOLLAND,10,3.08,3.36,3.86,18
2020-Q4,VUE 8 RESIDENCE,18,2.66,2.82,3.01,22
2020-Q4,WATER PLACE,15,2.8,2.85,2.98,33
2020-Q4,WATERBANK AT DAKOTA,14,3.71,4.1,4.57,68
2020-Q4,WATERFALL GARDENS,10,2.96,3.19,3.41,10
2020-Q4,WATERFORD RESIDENCE,9,3.69,3.79,3.94,12
2020-Q4,WATERFRONT GOLD,16,2.75,2.87,3.3,37
2020-Q4,WATERFRONT ISLE,16,2.69,2.93,3.38,57
2020-Q4,WATERFRONT KEY,16,2.67,2.81,2.97,14
2020-Q4,WATERMARK ROBERTSON QUAY,9,4.12,4.35,4.43,12
2020-Q4,WATERSCAPE AT CAVENAGH,9,3.56,3.63,3.89,36
2020-Q4,WATERTOWN,19,3.16,3.44,3.63,83
2020-Q4,WATERVIEW,18,2.48,2.63,2.7,29
2020-Q4,WEST BAY CONDOMINIUM,5,2.42,2.58,2.74,27
2020-Q4,WESTCOVE CONDOMINIUM,5,2.29,2.37,2.65,15
2020-Q4,WHITEHAVEN,5,3.56,4.27,4.42,13
2020-Q4,WILKIE 80,9,4.24,4.64,5.09,14
2020-Q4,WING FONG MANSIONS/WING FONG COURT,14,2.09,2.37,2.61,23
2020-Q4,WOODHAVEN,25,2.8,2.96,3.2,35
2020-Q4,YONG AN PARK,9,2.71,2.94,3.15,17
2020-Q4,ZEDGE,11,3.55,3.84,4.04,15
2020-Q4,ZENITH,10,3.9,4.04,4.39,12
