stations,
Jurong East,
Bukit Batok,
Bukit Gombak,
Choa Chu Kang,
Yew Tee,
Kranji,
Admiralty,
Sembawang,
Canberra,
Yishun,
Khatib,
Yio Chu Kang,
Ang Mo Kio,
Bishan,
Braddell,
Toa Payoh,
Novena,
Newton,
Orchard,
Somerset,
Dhoby Ghaut,
City Hall,
Raffles Place,
Marina Bay,
Marina South Pier,
Pasir Ris,
Tampines,
Simei,
Tanah Merah,
Bedok,
Kembangan,
Eunos,
Paya Lebar,
Aljunied,
Kallang,
Lavender,
Bugis,
Tanjong Pagar,
Tiong Bahru,
Redhill,
Queenstown,
Commonwealth,
Buona Vista,
Dover,
Clementi,
Chinese Garden,
Lakeside,
Boonlay,
Pioneer,
Joo Koon,
Gul Circle,
Tuas Cresent,
Tuas West Road,
Tuas Link,
Expo,
Changi Airport,
Harborfront,
Outram Park,
Chinatown,
Clarke Quay,
Dhoby Ghaut,
Little India,
Farrer Park,
Boon Keng,
Potong Pasir,
Woodleigh,
Serangoon,
Kovan,
Hougang,
Buangkok,
Sengkang,
Punggol,
Bukit Panjang,
Cashew,
Hillview,
Beauty World,
King Albert Park,
Sixth Avenue,
Tan Kah Kee,
Botanic Gardens,
Stevens,
Rochor,
Downtown,
Telok Ayer,
Fort Canning,
Bencoolen,
Jalan Besar,
Bendemeer,
Geylang Bahru,
Mattar,
McPherson,
Ubi,
Kaki Bukit,
Bedok North,
Bedok Reservoir,
Tampines West,
Tampines East,
Upper Changi,
Bras Basah,
Esplanade,
Promenade,
Nicoll Highway,
Stadium,
Mountbatten,
Dakota,
Tai Seng, 
Bartley,
Serangoon,
Lorong Chuan,
Marymount,
Caldecott,
Farrer Road,
Holland Village,
one-north,
Kent Ridge,
Haw Par Villa,
Pasir Panjang,
Labrador Park,
Telok Blangah